"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_type_error[15-1-remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json2-multiplication]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_division_good[10-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1200000.0-1-division]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json2-remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_5_1[multiplication]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_2[json3-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-8.1-remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[1--2147483649-division]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_5_2[multiplication]",""
"passed","Sun Apr 10 21:43:57 GMT+07:00 2022","Sun Apr 10 21:43:57 GMT+07:00 2022","5","tests","test_APImethods","","","","Проверка работоспособности GET метода",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-15-remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_type_error[1-8.1-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_addition_good[0-2147483647]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_remainder_good[1--2147483648]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","5","tests","test_functionality","","","","test_value_error[-2147483649-1-remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_addition_good[10--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_multiplication_good[10--5]",""
